"","pvalues","AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT)","NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT)","contingency table frequencies (A,B,C,D)","tp_flags","Mutational_Freq","adjusted_pvalue"
"PTEN",0.0231691116345776,0.158730158730159,0.355555555555556,"(10,16,53,29)","TRUE","14/114 (0.12280701754386)",0.827238851453463
"FRAS1",0.0431278363557643,0.333333333333333,0.15,"(22,6,44,34)","TRUE","14/111 (0.126126126126126)",0.827238851453463
"WDFY4",0.059088489389533,0.287878787878788,0.125,"(19,5,47,35)","TRUE","12/111 (0.108108108108108)",0.827238851453463
"ZFHX4",0.0870364591894286,0.366197183098592,0.195121951219512,"(26,8,45,33)","TRUE","23/122 (0.188524590163934)",0.898549503537795
"FLG",0.12637392274925,0.5,0.347826086956522,"(34,16,34,30)","TRUE","30/122 (0.245901639344262)",0.898549503537795
"USP34",0.128364214791114,0.196969696969697,0.326086956521739,"(13,15,53,31)","TRUE","14/117 (0.11965811965812)",0.898549503537795
"ARID1A",0.205805644993927,0.142857142857143,0.255813953488372,"(9,11,54,32)","TRUE","12/111 (0.108108108108108)",1
"ADCY8",0.211729339677923,0.220588235294118,0.119047619047619,"(15,5,53,37)","TRUE","12/117 (0.102564102564103)",1
"DNAH7",0.284759575643494,0.34375,0.238095238095238,"(22,10,42,32)","TRUE","20/114 (0.175438596491228)",1
"URB1",0.329167571552903,0.171875,0.261904761904762,"(11,11,53,31)","TRUE","12/112 (0.107142857142857)",1
"KRT16",0.34962858244619,0.242857142857143,0.159090909090909,"(17,7,53,37)","TRUE","12/119 (0.100840336134454)",1
"RYR2",0.398193154025115,0.253731343283582,0.333333333333333,"(17,15,50,30)","TRUE","16/117 (0.136752136752137)",1
"ABCA8",0.44666689721649,0.225806451612903,0.15,"(14,6,48,34)","TRUE","11/107 (0.102803738317757)",1
"ASH1L",0.451321875648431,0.21875,0.15,"(14,6,50,34)","TRUE","13/111 (0.117117117117117)",1
"AHNAK",0.480302933415436,0.209677419354839,0.275,"(13,11,49,29)","TRUE","13/107 (0.121495327102804)",1
"AHNAK2",0.506575056806552,0.223880597014925,0.288888888888889,"(15,13,52,32)","TRUE","15/118 (0.127118644067797)",1
"LRP1B",0.524585736364496,0.338235294117647,0.261904761904762,"(23,11,45,31)","TRUE","17/115 (0.147826086956522)",1
"TTN",0.56026846802852,0.863636363636364,0.833333333333333,"(114,70,18,14)","TRUE","108/234 (0.461538461538462)",1
"RELN",0.610509759243529,0.171875,0.225,"(11,9,53,31)","TRUE","11/110 (0.1)",1
"KIAA1109",0.616127406946747,0.174603174603175,0.219512195121951,"(11,9,52,32)","TRUE","12/110 (0.109090909090909)",1
"USH2A",0.649343784682038,0.220588235294118,0.261904761904762,"(15,11,53,31)","TRUE","15/116 (0.129310344827586)",1
"ABCA13",0.651586975975371,0.238805970149254,0.292682926829268,"(16,12,51,29)","TRUE","21/118 (0.177966101694915)",1
"EYS",0.782415146893539,0.145161290322581,0.175,"(9,7,53,33)","TRUE","12/110 (0.109090909090909)",1
"NF1",0.800386251612309,0.206349206349206,0.170731707317073,"(13,7,50,34)","TRUE","12/110 (0.109090909090909)",1
"KMT2D",0.809065726807241,0.203125,0.225,"(13,9,51,31)","TRUE","11/109 (0.100917431192661)",1
"RYR3",0.809065726807241,0.203125,0.225,"(13,9,51,31)","TRUE","12/110 (0.109090909090909)",1
"HERC1",0.809637822534196,0.21875,0.19047619047619,"(14,8,50,34)","TRUE","14/112 (0.125)",1
"MUC17",0.814056674988611,0.225806451612903,0.25,"(14,10,48,30)","TRUE","14/108 (0.12962962962963)",1
"KMT2C",0.824296180318183,0.264705882352941,0.3,"(18,12,50,28)","TRUE","16/114 (0.140350877192982)",1
"DDX51",0.831061675417962,0.22972972972973,0.26,"(17,13,57,37)","TRUE","15/129 (0.116279069767442)",1
"VPS13B",0.842723512280566,0.373134328358209,0.395348837209302,"(25,17,42,26)","TRUE","22/116 (0.189655172413793)",1
"MUC4",0.853846665752755,0.486842105263158,0.520833333333333,"(37,25,39,23)","TRUE","39/135 (0.288888888888889)",1
"DCHS1",1,0.215384615384615,0.232558139534884,"(14,10,51,33)","TRUE","13/114 (0.114035087719298)",1
"BIRC6",1,0.25,0.25,"(16,10,48,30)","TRUE","14/110 (0.127272727272727)",1
"MUC5B",1,0.338461538461538,0.325581395348837,"(22,14,43,29)","TRUE","21/115 (0.182608695652174)",1
"NES",1,0.19047619047619,0.195121951219512,"(12,8,51,33)","TRUE","11/110 (0.1)",1
"TP53",1,0.742424242424242,0.725,"(49,29,17,11)","TRUE","53/120 (0.441666666666667)",1
"HMCN1",1,0.313432835820896,0.317073170731707,"(21,13,46,28)","TRUE","23/116 (0.198275862068966)",1
"DST",1,0.36986301369863,0.361702127659574,"(27,17,46,30)","TRUE","25/127 (0.196850393700787)",1
"XIRP2",1,0.234375,0.225,"(15,9,49,31)","TRUE","12/109 (0.110091743119266)",1
"MUC16",1,0.638297872340426,0.64,"(60,32,34,18)","TRUE","56/157 (0.356687898089172)",1
"ZDBF2",1,0.112903225806452,0.125,"(7,5,55,35)","TRUE","12/110 (0.109090909090909)",1
