"","pvalues","AMPLIFIED_DELETERIOUS/(AMPLIFIED_DELETERIOUS+AMPLIFIED_WT)","NON_AMPLIFIED_DELETERIOUS/(NON_AMPLIFIED_DELETERIOUS+NON_AMPLIFIED_WT)","contingency table frequencies (A,B,C,D)","tp_flags","Mutational_Freq","adjusted_pvalue"
"HMCN1",2.43660557242546e-05,0.0551181102362205,0.122736418511066,"(28,122,480,872)","TRUE","533/2453 (0.217284957195271)",0.00256858880553171
"MEGF8",3.47106595342123e-05,0.015625,0.0560072267389341,"(9,62,567,1045)","TRUE","224/2231 (0.100403406544151)",0.00256858880553171
"KMT2D",0.000215761607355335,0.130755064456722,0.204963235294118,"(71,223,472,865)","TRUE","619/2585 (0.239458413926499)",0.0106442392961965
"PTEN",0.000449794586151457,0.0762852404643449,0.131374243733794,"(46,152,557,1005)","TRUE","271/2259 (0.119964586100044)",0.0144103171250433
"KMT2C",0.000486835038008221,0.0652591170825336,0.121393034825871,"(34,122,487,883)","TRUE","500/2422 (0.206440957886045)",0.0144103171250433
"KMT2B",0.000691527758300399,0.0423011844331641,0.0855855855855856,"(25,95,566,1015)","TRUE","263/2269 (0.115910092551785)",0.0170576847047432
"GNAS",0.000807701068387727,0.00535714285714286,0.0291627469426152,"(3,31,557,1032)","TRUE","232/2207 (0.105120072496602)",0.0170771083030548
"APC",0.00107626651702861,0.0815972222222222,0.135444151275286,"(47,154,529,983)","TRUE","356/2339 (0.152201795639162)",0.0199109305650293
"AHNAK2",0.00133590200785376,0.0156555772994129,0.0476190476190476,"(8,48,503,960)","TRUE","375/2332 (0.160806174957118)",0.0219681663513729
"ARID1A",0.00149963852811453,0.119127516778523,0.177215189873418,"(71,210,525,975)","TRUE","350/2333 (0.15002143163309)",0.022194650216095
"ZFHX3",0.0017665466339075,0.0411449016100179,0.0821661998132586,"(23,88,536,983)","TRUE","375/2374 (0.157961246840775)",0.0237680819834827
"COL11A1",0.002764895450477,0.0517857142857143,0.0943570767807586,"(29,102,531,979)","TRUE","302/2252 (0.134103019538188)",0.0321512228431422
"ZNF292",0.00294104422332481,0.0614035087719298,0.105026929982047,"(35,117,535,997)","TRUE","228/2164 (0.105360443622921)",0.0321512228431422
"SDK1",0.00310767520796541,0.00536672629695885,0.0256898192197907,"(3,27,556,1024)","TRUE","244/2204 (0.11070780399274)",0.0321512228431422
"LAMA1",0.00352689077665487,0.017208413001912,0.0463242698892246,"(9,46,514,947)","TRUE","339/2256 (0.150265957446809)",0.0321512228431422
"CHD8",0.00354970219167786,0.0415944540727903,0.0783956244302644,"(24,86,553,1011)","TRUE","239/2230 (0.107174887892377)",0.0321512228431422
"USP34",0.00369304586711768,0.0216216216216216,0.0515179392824287,"(12,56,543,1031)","TRUE","254/2248 (0.112989323843416)",0.0321512228431422
"TNRC18",0.00503132863129728,0.0220183486238532,0.0513307984790875,"(12,54,533,998)","TRUE","309/2278 (0.135645302897278)",0.0413687020795554
"DSCAM",0.00698771654175468,0.0107719928186715,0.0328022492970947,"(6,35,551,1032)","TRUE","258/2229 (0.115746971736205)",0.0544306341147207
"NIPBL",0.011005388663408,0.0521739130434783,0.0864086408640864,"(30,96,545,1015)","TRUE","266/2261 (0.117647058823529)",0.0814398761092194
"MYCBP2",0.0134057240539669,0.0368421052631579,0.0659945004582951,"(21,72,549,1019)","TRUE","317/2332 (0.135934819897084)",0.0944784361898619
"ABCA12",0.0156714288629914,0.0234657039711191,0.0484622553588071,"(13,52,541,1021)","TRUE","241/2205 (0.109297052154195)",0.105425975987397
"LAMA5",0.0174193206818846,0.0437956204379562,0.0743961352657005,"(24,77,524,958)","TRUE","352/2302 (0.152910512597741)",0.112089541779084
"TENM1",0.0240070728820102,0.00896057347670251,0.0252572497661366,"(5,27,553,1042)","TRUE","225/2197 (0.102412380518889)",0.147117686251473
"RELN",0.0263573220128103,0.0278810408921933,0.0532663316582915,"(15,53,523,942)","TRUE","374/2294 (0.163034001743679)",0.147117686251473
"DNAH10",0.0265030326539897,0.0267857142857143,0.051207729468599,"(15,53,545,982)","TRUE","340/2323 (0.14636246233319)",0.147117686251473
"APOB",0.0268390373566876,0.0393700787401575,0.0683417085427136,"(20,68,488,927)","TRUE","448/2370 (0.189029535864979)",0.147117686251473
"URB1",0.0292406723120671,0.0716783216783217,0.0449438202247191,"(41,48,531,1020)","TRUE","220/2165 (0.10161662817552)",0.154557839363783
"TNXB",0.0326119086527916,0.0146252285191956,0.0328820116054159,"(8,34,539,1000)","TRUE","314/2278 (0.13784021071115)",0.163696771289645
"LAMA2",0.0331817779641172,0.0216998191681736,0.0423728813559322,"(12,45,541,1017)","TRUE","269/2250 (0.119555555555556)",0.163696771289645
"DST",0.0368775701655018,0.107355864811133,0.146825396825397,"(54,148,449,860)","TRUE","640/2594 (0.246723207401696)",0.167768749891696
