"","pvalues","AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT)","NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT)","contingency table frequencies (A,B,C,D)","tp_flags","Mutational_Freq","adjusted_pvalue"
"DNAJC13",0.000892888845394735,0.32258064516129,0.101030927835052,"(10,98,21,872)","TRUE","141/1063 (0.132643461900282)",0.407984324056637
"TTC28",0.00106516879779358,0.344827586206897,0.111807732497388,"(10,107,19,850)","TRUE","163/1070 (0.152336448598131)",0.407984324056637
"ZMYM6",0.00172195906834705,0.290322580645161,0.0906217070600632,"(9,86,22,863)","TRUE","109/1024 (0.1064453125)",0.407984324056637
"MYO18B",0.00180524037193202,0.483870967741935,0.223658051689861,"(15,225,16,781)","TRUE","315/1187 (0.265374894692502)",0.407984324056637
"ROS1",0.00309205695275085,0.354838709677419,0.141666666666667,"(11,136,20,824)","TRUE","210/1102 (0.190562613430127)",0.480488857780954
"EPB41L3",0.00318908533925412,0.275862068965517,0.0863157894736842,"(8,82,21,868)","TRUE","136/1049 (0.129647283126787)",0.480488857780954
"TSHZ3",0.00589530466797656,0.3,0.113778705636743,"(9,109,21,849)","TRUE","151/1061 (0.142318567389255)",0.720392164649281
"ARAP2",0.00750987311862464,0.333333333333333,0.141382868937049,"(10,137,20,832)","TRUE","163/1063 (0.153339604891816)",0.720392164649281
"MYO3A",0.00941877744552881,0.324324324324324,0.151174668028601,"(12,148,25,831)","TRUE","183/1099 (0.166515013648772)",0.720392164649281
"KMT2B",0.00992161982985534,0.0384615384615385,0.246653919694073,"(1,258,25,788)","TRUE","263/1173 (0.224211423699915)",0.720392164649281
"TPTE",0.0099611684919628,0.354838709677419,0.154628687690743,"(11,152,20,831)","TRUE","212/1115 (0.190134529147982)",0.720392164649281
"LRP2",0.0112460390152571,0.515151515151515,0.296506137865911,"(17,314,16,745)","TRUE","434/1310 (0.331297709923664)",0.720392164649281
"ZDBF2",0.0128127330111907,0.379310344827586,0.180161943319838,"(11,178,18,810)","TRUE","239/1128 (0.211879432624113)",0.720392164649281
"ABCA1",0.0128680486752096,0.3,0.129132231404959,"(9,125,21,843)","TRUE","164/1077 (0.152274837511606)",0.720392164649281
"F8",0.0143516402231935,0,0.164959016393443,"(NA,161,26,815)","TRUE","196/1089 (0.179981634527089)",0.720392164649281
"SLC8A1",0.0158937229640052,0.275862068965517,0.114495798319328,"(8,109,21,843)","TRUE","132/1032 (0.127906976744186)",0.720392164649281
"CHD1",0.0166179201457108,0.259259259259259,0.0997899159663866,"(7,95,20,857)","TRUE","115/1026 (0.112085769980507)",0.720392164649281
"HFM1",0.0168436327907341,0.233333333333333,0.0890985324947589,"(7,85,23,869)","TRUE","110/1034 (0.106382978723404)",0.720392164649281
"RIMS1",0.0171273012639053,0.3125,0.13903192584964,"(10,135,22,836)","TRUE","170/1079 (0.157553290083411)",0.720392164649281
"FAM47C",0.017568323143488,0.241379310344828,0.0932914046121593,"(7,89,22,865)","TRUE","120/1039 (0.115495668912416)",0.720392164649281
"MUC2",0.0192850661976653,0.34375,0.173604060913706,"(11,171,21,814)","TRUE","234/1132 (0.206713780918728)",0.720392164649281
"ABCA10",0.0200089512703043,0.233333333333333,0.0923399790136411,"(7,88,23,865)","TRUE","134/1053 (0.127255460588794)",0.720392164649281
"CDK13",0.0202827014614416,0.266666666666667,0.115463917525773,"(8,112,22,858)","TRUE","138/1055 (0.130805687203791)",0.720392164649281
"LEPR",0.0215988449500941,0.233333333333333,0.0938477580813347,"(7,90,23,869)","TRUE","110/1037 (0.106075216972035)",0.720392164649281
"DOCK4",0.0218215841332574,0.266666666666667,0.117032392894462,"(8,112,22,845)","TRUE","156/1060 (0.147169811320755)",0.720392164649281
"USP29",0.0223781151658569,0.241379310344828,0.0981210855949896,"(7,94,22,864)","TRUE","106/1026 (0.103313840155945)",0.720392164649281
"CUBN",0.023454249655076,0.4,0.225519287833828,"(14,228,21,783)","TRUE","325/1207 (0.269262634631317)",0.720392164649281
